"Ano/mês do Óbito";"Óbitos_p/Ocorrência"
"Dezembro/2017";1008
"2018";13170
"Janeiro/2018";1024
"Fevereiro/2018";920
"Março/2018";1094
"Abril/2018";990
"Maio/2018";1110
"Junho/2018";1299
"Julho/2018";1220
"Agosto/2018";1222
"Setembro/2018";1097
"Outubro/2018";1067
"Novembro/2018";1066
"Dezembro/2018";1061
"2019";13217
"Janeiro/2019";1113
"Fevereiro/2019";920
"Março/2019";1060
"Abril/2019";1011
"Maio/2019";1163
"Junho/2019";1202
"Julho/2019";1240
"Agosto/2019";1167
"Setembro/2019";1157
"Outubro/2019";1099
"Novembro/2019";1022
"Dezembro/2019";1063
"2020";16415
"Janeiro/2020";1002
"Fevereiro/2020";989
"Março/2020";1086
"Abril/2020";1024
"Maio/2020";1126
"Junho/2020";1277
"Julho/2020";1760
"Agosto/2020";1724
"Setembro/2020";1577
"Outubro/2020";1328
"Novembro/2020";1588
"Dezembro/2020";1934
"Total";315670
